date_next,date_t,Open_pred,High_pred,Low_pred,Close_pred,Open_true,High_true,Low_true,Close_true,gap_pred,range_pred,body_pred,uw_pred,lw_pred,pnl,pnl_pip,equity
2010-01-27,2010-01-26,1.404752019938714,1.4075040128222143,1.4043807519196339,1.4070606525778246,1.40804,1.40957,1.39944,1.4028,-0.0033279618651801085,0.016575634048244095,0.0023086326391105775,0.00044336024,0.00037126802,-0.008287817024122068,-82.87817024122067,-0.008287817024122068
2010-01-28,2010-01-27,1.3990676610088475,1.4046131935570558,1.3986531370142974,1.4041303933150304,1.40274,1.40516,1.39454,1.3962,-0.003732302942263298,0.01632160772634509,0.005062732306182874,0.00048280024,0.000414524,-0.008160803863172639,-81.60803863172639,-0.016448620887294707
2010-01-29,2010-01-28,1.3924917283219709,1.3988441455539347,1.3920880479489877,1.398335608852844,1.39604,1.39861,1.38589,1.38605,-0.0037082133131610628,0.015976361329293372,0.0058438805308730435,0.0005085367,0.00040368037,-0.007988180664646682,-79.88180664646681,-0.02443680155194139
2010-02-01,2010-01-29,1.382448735236168,1.3891496799182463,1.382034926206317,1.3885669163422976,1.38724,1.39366,1.38501,1.392,-0.0036012506494521464,0.013863143715180532,0.006118181106129391,0.0005827636,0.00041380903,0.0047599999999998754,47.59999999999875,-0.019676801551941514
2010-02-02,2010-02-01,1.3875688720119854,1.3940953903546525,1.3871650724879203,1.3936589411931546,1.39203,1.39756,1.3883,1.39737,-0.004431087933693275,0.017393825711637383,0.006090069181169222,0.00043644916,0.00040379952,0.0053399999999999,53.399999999999004,-0.014336801551941614
2010-02-03,2010-02-02,1.3937478249575255,1.3981752106659255,1.3933756036133749,1.3977895237943299,1.39741,1.40247,1.38803,1.38969,-0.0036221558545472816,0.017737052071153128,0.004041698836804462,0.00038568687,0.00037222134,-0.00886852603557653,-88.6852603557653,-0.023205327587518143
2010-02-04,2010-02-03,1.386373452920907,1.3906702827477346,1.3859782330314376,1.3901941550245027,1.38951,1.39022,1.37121,1.37395,-0.0033165886211461463,0.019701271913264165,0.0038207021035955675,0.00047612772,0.0003952199,-0.009850635956632159,-98.50635956632158,-0.0330559635441503
2010-02-05,2010-02-04,1.3718220373242125,1.3741372744210503,1.3714649500592109,1.3737055915647625,1.37411,1.37448,1.35816,1.36763,-0.002127967253424284,0.01625134104781633,0.0018835542405500373,0.00043168286,0.00035708727,-0.008125670523908113,-81.25670523908113,-0.041181634068058415
2010-02-08,2010-02-05,1.3662300096461049,1.367076608028074,1.3658657723848673,1.3666743575844889,1.36421,1.37128,1.36195,1.36539,-0.0013999952367075331,0.013012627375564304,0.0004443479383840522,0.00040225044,0.00036423726,0.0,0.0,-0.041181634068058415
2010-02-09,2010-02-08,1.3622773834685784,1.369023271316043,1.3618969397975587,1.3685490500101214,1.3654,1.38385,1.36456,1.37809,-0.0031125596542854613,0.01916719508943112,0.006271666541542942,0.0004742213,0.00038044367,0.009583597544715605,95.83597544715604,-0.03159803652334281
