Time,Open,High,Low,Close,daily_change_pips,daily_change_pct,body_size_pips,upper_shadow_pips,lower_shadow_pips,total_range_pips,atr14,body_ratio,prev_daily_change_pips,prev_daily_change_pct,prev_body_size_pips,prev_total_range_pips,prev_atr14,vol_regime,vol_regime_encoded,struct_regime,struct_regime_encoded,prev_vol_regime_encoded,prev_struct_regime_encoded,target_vol_regime_next,target_struct_regime_next
2009-12-16,1.45398,1.45903,1.45023,1.45219,-16.399999999998638,-0.11280548619851452,17.899999999999583,50.499999999999986,19.600000000001838,88.0000000000014,138.5214285714287,0.20340909088596826,-117.50000000000149,-0.8017303729581563,118.00000000000033,157.00000000000048,146.35714285714292,low_vol,0,choppy,0,1.0,1.0,1.0,1.0
2009-12-17,1.45204,1.45306,1.43035,1.43427,-179.20000000000158,-1.2339983060068005,177.70000000000064,10.200000000000209,39.199999999999235,227.10000000000008,142.45000000000016,0.782474680722923,-16.399999999998638,-0.11280548619851452,17.899999999999583,88.0000000000014,138.5214285714287,high_vol,1,trending,1,0.0,0.0,0.0,0.0
2009-12-18,1.43429,1.44105,1.42582,1.43364,-6.299999999999084,-0.043924784036472105,6.500000000000394,67.59999999999877,78.19999999999938,152.29999999999853,145.30714285714285,0.04267892317513899,-179.20000000000158,-1.2339983060068005,177.70000000000064,227.10000000000008,142.45000000000016,low_vol,0,choppy,0,1.0,1.0,0.0,0.0
2009-12-21,1.43301,1.43727,1.42636,1.42834,-53.000000000000824,-0.3696883457492873,46.69999999999952,42.60000000000153,19.799999999998708,109.09999999999975,142.5642857142857,0.4280476626555376,-6.299999999999084,-0.043924784036472105,6.500000000000394,152.29999999999853,145.30714285714285,low_vol,0,choppy,0,0.0,0.0,0.0,0.0
2009-12-22,1.42838,1.4332,1.42149,1.42518,-31.600000000000517,-0.22123584020611703,32.00000000000092,48.200000000000465,36.89999999999971,117.10000000000109,145.1714285714285,0.2732707087725697,-53.000000000000824,-0.3696883457492873,46.69999999999952,109.09999999999975,142.5642857142857,low_vol,0,choppy,0,0.0,0.0,0.0,1.0
2009-12-23,1.42514,1.43646,1.42315,1.43328,81.00000000000219,0.5683492611459758,81.40000000000036,31.799999999999606,19.900000000001583,133.10000000000156,147.15000000000003,0.6115702478879317,-31.600000000000517,-0.22123584020611703,32.00000000000092,117.10000000000109,145.1714285714285,low_vol,0,trending,1,0.0,0.0,0.0,0.0
2009-12-24,1.43331,1.4418,1.43278,1.43767,43.89999999999894,0.30629046662200643,43.5999999999992,41.29999999999967,5.300000000001415,90.20000000000027,134.14285714285728,0.483370288194738,81.00000000000219,0.5683492611459758,81.40000000000036,133.10000000000156,147.15000000000003,low_vol,0,choppy,0,0.0,1.0,0.0,0.0
2009-12-25,1.43761,1.44365,1.43558,1.43772,0.5000000000010552,0.0034778495760574763,1.100000000000545,59.29999999999991,20.299999999999763,80.70000000000022,129.1428571428572,0.013630731101167718,43.89999999999894,0.30629046662200643,43.5999999999992,90.20000000000027,134.14285714285728,low_vol,0,choppy,0,0.0,0.0,0.0,0.0
2009-12-28,1.43726,1.44138,1.43505,1.43719,-5.300000000001415,-0.03686392343433641,0.700000000000145,41.20000000000124,21.400000000000308,63.30000000000169,119.71428571428586,0.01105845181500066,0.5000000000010552,0.0034778495760574763,1.100000000000545,80.70000000000022,129.1428571428572,low_vol,0,choppy,0,0.0,0.0,0.0,0.0
2009-12-29,1.43723,1.44572,1.43311,1.43386,-33.30000000000055,-0.23170214098345068,33.700000000000955,84.89999999999887,7.499999999998064,126.09999999999788,120.92142857142869,0.26724821568064266,-5.300000000001415,-0.03686392343433641,0.700000000000145,63.30000000000169,119.71428571428586,low_vol,0,choppy,0,0.0,0.0,0.0,0.0
2009-12-30,1.43397,1.43606,1.42694,1.43384,-0.1999999999990898,-0.0013948363159519744,1.2999999999996348,20.899999999999253,68.99999999999906,91.19999999999794,121.93571428571424,0.014254385963345618,-33.30000000000055,-0.23170214098345068,33.700000000000955,126.09999999999788,120.92142857142869,low_vol,0,choppy,0,0.0,0.0,0.0,0.0
